loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1654828987.718658,34,639279.3389808751,0.08270263671875,-0.21380615234375,-0.81982421875,639279.3402308751,-0.8164868354797363,-1.067696928977966,0.1063618585467339
1654828987.753615,35,639279.372729875,0.0665740966796875,-0.178375244140625,-0.9419403076171875,639279.3402308751,-0.8164868354797363,-1.067696928977966,0.1063618585467339
1654828987.77998,36,639279.4064798751,-0.0705718994140625,-0.1570587158203125,-1.077835083007812,639279.373979875,-1.000912547111511,-1.535480976104736,0.09289798140525818
1654828987.815069,37,639279.440229875,-0.132080078125,-0.1515350341796875,-1.148834228515625,639279.4077298751,-0.8025712966918945,-1.361326932907104,0.1844638586044312
1654828987.850091,38,639279.4739788751,-0.0805816650390625,-0.117645263671875,-1.071685791015625,639279.4752288751,-0.09617473930120468,-0.110217846930027,-0.1360744833946228
1654828987.884977,39,639279.507728875,-0.09222412109375,-0.0984954833984375,-0.971710205078125,639279.4752288751,-0.09617473930120468,-0.110217846930027,-0.1360744833946228
1654828987.918425,40,639279.5414788751,-0.089813232421875,-0.142608642578125,-1.033203125,639279.508978875,-0.1394026279449463,-0.2573772072792053,-0.1017862856388092
1654828987.953637,41,639279.575227875,-0.030487060546875,-0.1446990966796875,-1.0677490234375,639279.5427288751,-0.1269022822380066,-0.2009717226028442,-0.07799706608057022
1654828987.985062,42,639279.6089778751,-0.04931640625,-0.11614990234375,-0.9897613525390625,639279.576477875,0.04971535876393318,-0.02585556544363499,-0.1579139977693558
1654828988.020049,43,639279.642727875,-0.0793609619140625,-0.13104248046875,-1.01568603515625,639279.6102278751,-0.02743828296661377,-0.2808843851089478,-0.1001340597867966
1654828988.049881,44,639279.67648225,-0.1079864501953125,-0.1365814208984375,-1.044937133789062,639279.643977875,-0.1077083572745323,-0.5034934878349304,-0.05387255176901817
1654828988.085046,45,639279.71023125,-0.1280670166015625,-0.129364013671875,-1.015838623046875,639279.6777322501,-0.04724660888314247,-0.4836566746234894,-0.09458296746015549
1654828988.120044,46,639279.7439812501,-0.1181488037109375,-0.1408538818359375,-1.002395629882812,639279.7452312501,0.1220952793955803,-0.1820054948329926,-0.1735688596963882
1654828988.159685,47,639279.77773125,-0.0973968505859375,-0.1677703857421875,-0.97601318359375,639279.7452312501,0.1220952793955803,-0.1820054948329926,-0.1735688596963882
1654828988.185048,48,639279.8114802501,-0.095458984375,-0.182769775390625,-0.9954376220703125,639279.77898125,0.2432699054479599,0.01576378382742405,-0.1782653480768204
1654828988.220219,49,639279.84523025,-0.0676422119140625,-0.1856689453125,-0.9763641357421875,639279.8127302501,0.3189862370491028,0.210179328918457,-0.08798524737358093
1654828988.255328,50,639279.87898025,-0.0786895751953125,-0.2003021240234375,-0.9480133056640625,639279.84648025,0.4071730971336365,0.3521367311477661,-0.01594327948987484
1654828988.290057,51,639279.91272925,-0.0630645751953125,-0.2493438720703125,-0.8627166748046875,639279.8802302501,0.4164651334285736,0.4642720520496368,0.05249516665935516
1654828988.320007,52,639279.9464792501,-0.033782958984375,-0.284210205078125,-0.9057464599609375,639279.91397925,0.4297084808349609,0.6969700455665588,0.03675828129053116
1654828988.359121,53,639279.98022925,0.011077880859375,-0.2559814453125,-0.9297637939453125,639279.9477292501,0.4516079425811768,0.9502254724502563,0.06117786839604378
1654828988.39898,54,639280.01397925,0.040313720703125,-0.2602996826171875,-0.9186859130859375,639279.98147925,0.3782607614994049,0.9453824758529663,0.1103139892220497
1654828988.424998,55,639280.04772825,0.0484619140625,-0.2930145263671875,-0.877197265625,639280.0152292501,0.2099295258522034,0.767578125,0.1260207891464233
1654828988.455038,56,639280.0814782501,0.0834503173828125,-0.3007354736328125,-0.8867340087890625,639280.04897825,0.05411889404058456,0.555152952671051,0.09823628515005112
1654828988.490097,57,639280.11522825,0.130218505859375,-0.2799224853515625,-0.909637451171875,639280.0827282501,-0.1326959878206253,0.3928593993186951,0.06485143303871155
1654828988.525044,58,639280.1489772501,0.064422607421875,-0.2209930419921875,-0.8961181640625,639280.11647825,-0.3164018988609314,0.02231249585747719,0.02423796243965626
1654828988.560168,59,639280.18272725,-0.0621185302734375,-0.14031982421875,-0.9466705322265625,639280.1502272501,-0.628223717212677,-0.6362031102180481,0.1607609242200851
1654828988.59867,60,639280.21647725,-0.1112518310546875,-0.09893798828125,-1.150527954101562,639280.18397725,-0.9543038010597229,-1.233991622924805,0.3026168644428253
1654828988.625109,61,639280.25022625,-0.1251220703125,-0.0824432373046875,-1.165679931640625,639280.2177272501,-0.6764554381370544,-1.050024509429932,0.1428780555725098
1654828988.660023,62,639280.2839762501,-0.11431884765625,-0.124053955078125,-1.078826904296875,639280.25147625,-0.2135293185710907,-0.269242912530899,-0.04968633130192757
1654828988.695044,63,639280.31772625,-0.064727783203125,-0.162139892578125,-0.9988250732421875,639280.2852262501,0.08888193219900131,0.1620187312364578,-0.1738117337226868
1654828988.725015,64,639280.3514752501,-0.0038604736328125,-0.1661834716796875,-0.9413604736328125,639280.31897625,0.094312384724617,0.1320182234048843,-0.2490353882312775
1654828988.760039,65,639280.38522525,-0.00860595703125,-0.12713623046875,-0.92340087890625,639280.3527252501,-0.1054808869957924,-0.326851099729538,-0.2418741434812546
1654828988.800776,66,639280.41897525,-0.0604095458984375,-0.086883544921875,-1.010040283203125,639280.38647525,-0.4132967591285706,-0.8391966819763184,-0.08404004573822021
1654828988.839962,67,639280.45272425,-0.117279052734375,-0.0901336669921875,-1.150497436523438,639280.4202252501,-0.4745113849639893,-1.000174403190613,0.05633863806724548
1654828988.859968,68,639280.4864742501,-0.17864990234375,-0.0924072265625,-1.103851318359375,639280.45397425,-0.121464379131794,-0.5833571553230286,0.01050617080181837
1654828988.895109,69,639280.52022425,-0.178436279296875,-0.1046142578125,-1.039840698242188,639280.4877242501,0.160322293639183,-0.2378940582275391,-0.05150580033659935
